Week,Actual 2023 Cases
1/1/2023,61
1/8/2023,70
1/15/2023,73
1/22/2023,64
1/29/2023,76
2/5/2023,64
2/12/2023,82
2/19/2023,55
2/26/2023,36
3/5/2023,48
3/12/2023,34
3/19/2023,33
3/26/2023,41
4/2/2023,21
4/9/2023,40
4/16/2023,44
4/23/2023,43
4/30/2023,26
5/7/2023,28
5/14/2023,55
5/21/2023,44
5/28/2023,57
6/4/2023,72
6/11/2023,98
6/18/2023,98
6/25/2023,114
7/2/2023,110
7/9/2023,73
7/16/2023,93
7/23/2023,99
7/30/2023,91
8/6/2023,131
8/13/2023,153
8/20/2023,139
8/27/2023,146
9/3/2023,137
9/10/2023,137
9/17/2023,146
9/24/2023,138
10/1/2023,160
10/8/2023,187
10/15/2023,130
10/22/2023,135
10/29/2023,117
11/5/2023,162
11/12/2023,122
11/19/2023,151
11/26/2023,116
12/3/2023,88
12/10/2023,107
12/17/2023,80
12/24/2023,90
