Week,Cases,Rainfall Amount,Max Temperature,Minimum Temperature,Relative Humidity,Wind Speed,Wind Direction
1/1/2015,93,0.914285714,29.17142857,20.61428571,79.57142857,1,150
1/8/2015,108,0,29.21428571,19.74285714,76.85714286,1.142857143,77.14285714
1/15/2015,100,2.942857143,29.38571429,21.21428571,78.14285714,1.428571429,245.7142857
1/22/2015,81,0,29.7,19.95714286,75.71428571,1,202.8571429
1/29/2015,67,0.142857143,29.68571429,19.61428571,75.57142857,1,100
2/5/2015,64,0,30.38571429,19.87142857,73.14285714,1,260
2/12/2015,62,0,30.97142857,22.17142857,73.85714286,1.142857143,185.7142857
2/19/2015,56,0,31.05714286,20.45714286,66.71428571,1,161.4285714
2/26/2015,67,0,33.14285714,20.34285714,62.71428571,1.285714286,170
3/5/2015,50,0.514285714,31.7,20.92857143,64.85714286,0.857142857,107.1428571
3/12/2015,32,0,31.65714286,21.15714286,62.71428571,1.142857143,138.5714286
3/19/2015,46,0,31.48571429,22.74285714,68.28571429,1.285714286,220
3/26/2015,32,0,33.8,23.35714286,60.57142857,1,100
4/2/2015,34,0,33.72857143,23.72857143,61.71428571,1,195.7142857
4/9/2015,24,0,33.42857143,23.21428571,63.85714286,1.142857143,212.8571429
4/16/2015,29,9.114285714,35.34285714,25.44285714,64.14285714,1.142857143,204.2857143
4/23/2015,22,0,34.57142857,24.92857143,59.57142857,1,191.4285714
4/30/2015,24,0.942857143,34.31428571,24.94285714,67.42857143,1,170
5/7/2015,30,2.8,34.35714286,25.2,72.28571429,1,178.5714286
5/14/2015,25,0,35.2,25.17142857,57.57142857,1,177.1428571
5/21/2015,21,4.314285714,34.6,26.08571429,68.57142857,1,238.5714286
5/28/2015,29,2.742857143,34.94285714,24.92857143,68.57142857,1,242.8571429
6/4/2015,50,21.2,34.65714286,25.14285714,71.85714286,1,282.8571429
6/11/2015,54,7.585714286,34.37142857,25.04285714,68.57142857,1,224.2857143
6/18/2015,66,10.28571429,33.28571429,25.08571429,76.85714286,1,217.1428571
6/25/2015,88,10.14285714,34.07142857,25.27142857,73.71428571,1.428571429,242.8571429
7/2/2015,145,42.32857143,31.05714286,24.41428571,86.14285714,1.428571429,242.8571429
7/9/2015,157,15,30.85714286,25.87142857,78.71428571,1.714285714,205.7142857
7/16/2015,191,13.67142857,32.32857143,24.6,76.57142857,1.142857143,217.1428571
7/23/2015,217,13.42857143,32.31428571,23.17142857,81.42857143,1.285714286,308.5714286
7/30/2015,282,12.68571429,32.77142857,24.1,77,1,260
8/6/2015,221,15.51428571,31.8,25.2,81.57142857,1.428571429,180
8/13/2015,317,12.87142857,33.78571429,25.22857143,77.28571429,1,278.5714286
8/20/2015,370,19.38571429,30.68571429,24.85714286,83,2.285714286,234.2857143
8/27/2015,299,5.871428571,32.4,24.5,79.57142857,1.428571429,220
9/3/2015,367,21.51428571,33.01428571,24.35714286,80.14285714,1.428571429,248.5714286
9/10/2015,463,21.57142857,31.61428571,24.17142857,84.28571429,1.428571429,167.1428571
9/17/2015,368,15.41428571,32.85714286,24.2,79.14285714,1.142857143,232.8571429
9/24/2015,305,8.285714286,33.08571429,25.67142857,79,2.142857143,215.7142857
10/1/2015,297,15.4,31.51428571,23.94285714,83.28571429,1.285714286,187.1428571
10/8/2015,267,2.2,32.77142857,24.64285714,77.57142857,1.142857143,214.2857143
10/15/2015,241,13.82857143,30.6,24.88571429,79.42857143,2.714285714,254.2857143
10/22/2015,251,0.057142857,32.52857143,23.98571429,72.42857143,1.142857143,208.5714286
10/29/2015,183,0.4,32.81428571,23.84285714,73.42857143,1,240
11/5/2015,168,0.114285714,33.91428571,23.85714286,68.85714286,1.285714286,154.2857143
11/12/2015,127,0,33.44285714,23.55714286,71.42857143,1,192.8571429
11/19/2015,137,0.114285714,33.27142857,23.42857143,68.42857143,1,171.4285714
11/26/2015,101,1,32.25714286,23.1,72,1.142857143,224.2857143
12/3/2015,61,0.385714286,32.91428571,23.72857143,69.85714286,1,110
12/10/2015,56,28.95714286,30.4,23.84285714,77.57142857,1.428571429,238.5714286
12/17/2015,37,11.98571429,29.91428571,22.61428571,76.71428571,1.142857143,280
12/24/2015,13,0,31.7,20.45,70.66666667,1,221.6666667
1/1/2016,104,0.171428571,31.34285714,21.87142857,72.28571429,1.142857143,167.1428571
1/8/2016,80,0,31.77142857,22.47142857,71.71428571,1.142857143,314.2857143
1/15/2016,92,0,32.37142857,23.24285714,67.57142857,1.571428571,157.1428571
1/22/2016,79,0,31.08571429,22.9,68.28571429,1.857142857,240
1/29/2016,73,0.657142857,31.48571429,23.45714286,70.85714286,1,205.7142857
2/5/2016,71,0.085714286,29.57142857,21.6,70.71428571,1.714285714,297.1428571
2/12/2016,65,0,31.17142857,21.28571429,67.14285714,1,210
2/19/2016,81,0,32.68571429,22.12857143,62.42857143,1.571428571,185.7142857
2/26/2016,59,0,31.14285714,23.78571429,65.71428571,1.571428571,311.4285714
3/4/2016,55,0,33.58571429,24.4,68.71428571,1.571428571,267.1428571
3/11/2016,49,0,32.72857143,23.34285714,63.57142857,1.285714286,208.5714286
3/18/2016,47,0,34.55714286,23.12857143,58.57142857,1,164.2857143
3/25/2016,34,0.057142857,33.08571429,24.04285714,63.57142857,1.285714286,242.8571429
4/1/2016,31,2.228571429,34.14285714,24.08571429,59.42857143,1.142857143,121.4285714
4/8/2016,35,0.114285714,35.65714286,25.08571429,58.57142857,1.571428571,161.4285714
4/15/2016,17,0,36.27142857,25.47142857,58.85714286,1.428571429,178.5714286
4/22/2016,20,0,35.98571429,25.71428571,55.57142857,1.285714286,200
4/29/2016,23,3,35.9,25.78571429,61.71428571,1.142857143,141.4285714
5/6/2016,27,0,35.74285714,26.28571429,56.85714286,1.428571429,141.4285714
5/13/2016,22,8.428571429,34.61428571,25.44285714,66.28571429,1.142857143,222.8571429
5/20/2016,25,11.42857143,33.78571429,25.84285714,73.85714286,1.142857143,192.8571429
5/27/2016,25,7.457142857,33.91428571,25.5,74.71428571,1.428571429,264.2857143
6/3/2016,30,7.328571429,33.3,25.58571429,75.14285714,1.285714286,208.5714286
6/10/2016,41,3.414285714,33.95714286,25.52857143,75.42857143,1,214.2857143
6/17/2016,70,4.914285714,33.91428571,25.65714286,74.42857143,1.285714286,188.5714286
6/24/2016,68,7.071428571,33.42857143,25.15714286,78,1.142857143,208.5714286
7/1/2016,97,14.74285714,31.87142857,24.78571429,79.71428571,1.142857143,220
7/8/2016,83,13.97142857,31.48571429,24.47142857,84,1.142857143,228.5714286
7/15/2016,140,1.414285714,33.81428571,24.97142857,75.42857143,1,210
7/22/2016,178,8.242857143,33.78571429,24.7,74.42857143,1,274.2857143
7/29/2016,225,6.914285714,32.64285714,25.44285714,75.85714286,1.428571429,215.7142857
8/5/2016,188,28.72857143,29.62857143,25,85,1.428571429,232.8571429
8/12/2016,128,47.6,30.14285714,26.08571429,86.14285714,1.714285714,221.4285714
8/19/2016,231,6.6,31.71428571,26.01428571,81.28571429,1.428571429,247.1428571
8/26/2016,233,24.97142857,31.18571429,25.98571429,83.57142857,1.285714286,227.1428571
9/2/2016,163,18.61428571,32.34285714,25.5,78.28571429,1.428571429,232.8571429
9/9/2016,213,6.085714286,32.22857143,25.42857143,77.57142857,1.142857143,257.1428571
9/16/2016,161,8.028571429,31.51428571,25.07142857,81.28571429,1.142857143,271.4285714
9/23/2016,159,37.31428571,30.62857143,24.71428571,83.85714286,1.285714286,200
9/30/2016,194,18.07142857,31.15714286,24.58571429,81.14285714,1,218.5714286
10/7/2016,187,14.52857143,31.12857143,24.61428571,83,1,212.8571429
10/14/2016,129,10,31.02857143,25.62857143,79.28571429,1.714285714,258.5714286
10/21/2016,122,0,32.95714286,24.88571429,72.71428571,1.142857143,174.2857143
10/28/2016,136,5.028571429,32.51428571,24.34285714,75.85714286,1.142857143,147.1428571
11/4/2016,112,0.885714286,31.31428571,23.14285714,74.42857143,1,131.4285714
11/11/2016,81,2.728571429,31.95714286,24.7,74.14285714,1.285714286,68.57142857
11/18/2016,110,2.642857143,32.61428571,23.22857143,74.42857143,1.142857143,201.4285714
11/25/2016,111,2.114285714,31.47142857,23.98571429,76.14285714,1.285714286,80
12/2/2016,83,2.871428571,31.41428571,23.72857143,75.57142857,1.142857143,231.4285714
12/9/2016,98,7.285714286,30.11428571,24.37142857,79.71428571,1,264.2857143
12/16/2016,87,0.971428571,30.51428571,22.87142857,75.85714286,1.428571429,157.1428571
12/23/2016,25,6.366666667,32.43333333,24.01666667,68.5,1.833333333,216.6666667
1/1/2017,206,0.075,31.1375,21.9125,68.625,1.5,192.5
1/9/2017,118,1.971428571,30.14285714,22.75714286,76.42857143,1,112.8571429
1/16/2017,120,2.857142857,30.57142857,21.45714286,71.28571429,1.142857143,192.8571429
1/23/2017,102,0.385714286,29.14285714,22.07142857,76.85714286,1.428571429,152.8571429
1/30/2017,114,4.714285714,30.05714286,22.78571429,77,1.285714286,148.5714286
2/6/2017,100,0,30.12857143,21.52857143,65.71428571,1.142857143,218.5714286
2/13/2017,109,5.542857143,28.37142857,20.57142857,73.71428571,1.571428571,221.4285714
2/20/2017,75,0,32.35714286,23.02857143,67.14285714,1.285714286,157.1428571
2/27/2017,104,0.571428571,31.02857143,22.58571429,69.14285714,1,144.2857143
3/6/2017,105,0,32.47142857,21.02857143,63.28571429,1.285714286,227.1428571
3/13/2017,83,0,32.62857143,22.51428571,60.71428571,1.285714286,101.4285714
3/20/2017,97,0.114285714,33.78571429,24.08571429,63.14285714,1.142857143,190
3/27/2017,63,4.214285714,32.88571429,23.44285714,62.85714286,1.428571429,138.5714286
4/3/2017,59,0,32.35714286,23.12857143,64.71428571,1.285714286,175.7142857
4/10/2017,59,0.685714286,34.67142857,24.28571429,62.71428571,1.571428571,122.8571429
4/17/2017,41,5.571428571,34.77142857,26.2,68.85714286,1,238.5714286
4/24/2017,38,7.557142857,34.44285714,25.22857143,66.28571429,1.571428571,264.2857143
5/1/2017,41,5.528571429,34.45714286,24.94285714,68.57142857,1.142857143,264.2857143
5/8/2017,43,0,35.32857143,25.54285714,57.85714286,1.571428571,152.8571429
5/15/2017,77,2.585714286,34.7,26.02857143,70,1.714285714,245.7142857
5/22/2017,59,21.55714286,33.2,26.11428571,78,1.428571429,227.1428571
5/29/2017,78,13.62857143,34.24285714,25.87142857,74,1.571428571,220
6/5/2017,115,7.771428571,33.2,25.27142857,79.42857143,1,195.7142857
6/12/2017,125,1.342857143,34.81428571,25.7,70.71428571,1,232.8571429
6/19/2017,146,12.75714286,33.81428571,25.11428571,74.57142857,1,228.5714286
6/26/2017,157,33.4,33.17142857,24.74285714,78.71428571,1,205.7142857
7/3/2017,162,9.728571429,32.75714286,24.88571429,78.71428571,1,194.2857143
7/10/2017,282,9.3,32.64285714,25.08571429,79.28571429,1.285714286,188.5714286
7/17/2017,308,11.67142857,32.21428571,25,76.85714286,1.428571429,195.7142857
7/24/2017,229,40.3,30.3,25.77142857,82.85714286,2.142857143,220
7/31/2017,340,9.671428571,31.51428571,25.78571429,82,1.571428571,207.1428571
8/7/2017,490,1.3,33.65714286,25.78571429,75.42857143,1.571428571,278.5714286
8/14/2017,516,19.6,33.45714286,25,77.57142857,1.285714286,272.8571429
8/21/2017,372,23.81428571,31.25714286,24.52857143,82.71428571,1.285714286,237.1428571
8/28/2017,298,11.64285714,32.04285714,25.47142857,80.28571429,1.571428571,274.2857143
9/4/2017,345,1.214285714,33.38571429,25.35714286,73.28571429,1.428571429,288.5714286
9/11/2017,260,34.84285714,31.88571429,25.54285714,79.85714286,1.571428571,241.4285714
9/18/2017,275,8.785714286,32.31428571,24.74285714,81.42857143,1.142857143,170
9/25/2017,259,12.21428571,31.24285714,25.01428571,85.14285714,1.142857143,342.8571429
10/2/2017,192,8.485714286,31.1,24.51428571,81.42857143,1,252.8571429
10/9/2017,196,17.42857143,30.82857143,25.18571429,85.14285714,1.428571429,202.8571429
10/16/2017,260,3.971428571,32.5,25.27142857,76.71428571,1.285714286,220
10/23/2017,189,4.085714286,31.57142857,24.2,73.71428571,1,147.1428571
10/30/2017,209,9.785714286,29.08571429,23.37142857,85.14285714,1,254.2857143
11/6/2017,231,9.571428571,32.22857143,24.11428571,77.42857143,1.428571429,170
11/13/2017,172,1.385714286,32.05714286,24.47142857,77.85714286,1,125.7142857
11/20/2017,161,2.257142857,32.57142857,24.04285714,77.28571429,1.142857143,87.14285714
11/27/2017,133,4.742857143,32.5,24.07142857,75.42857143,1.285714286,91.42857143
12/4/2017,167,5.428571429,31.21428571,24.4,79.42857143,1,208.5714286
12/11/2017,150,1.428571429,29.38571429,22.81428571,73.28571429,1.571428571,201.4285714
12/18/2017,100,5.185714286,29.97142857,23.72857143,81.28571429,1.142857143,275.7142857
12/25/2017,52,1.385714286,30.11428571,22.48571429,77.14285714,1.142857143,167.1428571
1/1/2018,189,0,31.13333333,23.1,69.33333333,1.5,88.33333333
1/7/2018,182,2.914285714,30.92857143,22.82857143,73.14285714,1.571428571,160
1/14/2018,179,4.185714286,30.48571429,22.74285714,72.42857143,1,112.8571429
1/21/2018,157,4.5,29.9,22.77142857,80,1,244.2857143
1/28/2018,143,0.028571429,30.2,22.02857143,73.57142857,1,142.8571429
2/4/2018,160,0,29.85714286,22.12857143,71.14285714,1.428571429,252.8571429
2/11/2018,128,0.085714286,31.7,23.52857143,67.71428571,1.571428571,130
2/18/2018,119,0.057142857,33.08571429,22.27142857,63,1.285714286,78.57142857
2/25/2018,110,0,32.64285714,24.34285714,66.28571429,1.285714286,131.4285714
3/4/2018,106,1.2,32.48571429,23.51428571,66.85714286,1.428571429,178.5714286
3/11/2018,119,0,31.8,22.08571429,64.42857143,1.142857143,212.8571429
3/18/2018,89,0,33.04285714,23.07142857,63.14285714,1.571428571,175.7142857
3/25/2018,82,1.485714286,30.94285714,22.92857143,65.42857143,1,201.4285714
4/1/2018,95,1.714285714,31.5,23.52857143,68.57142857,1.142857143,142.8571429
4/8/2018,73,5.942857143,33.71428571,24.34285714,64.42857143,1.142857143,78.57142857
4/15/2018,99,0,34.25714286,24.07142857,58.42857143,1,164.2857143
