Week,Cases,Rainfall Amount,Max Temperature,Minimum Temperature,Relative Humidity,Wind Speed,Wind Direction
1/1/2023,61,17.51428571,29.35714286,23.38571429,83,1,215.7142857
1/8/2023,70,0.242857143,29.54285714,22.28571429,74.28571429,1.142857143,162.8571429
1/15/2023,73,4.428571429,30.04285714,23.5,76,1.142857143,90
1/22/2023,64,0,30.31428571,22.6,68.85714286,1.285714286,161.4285714
1/29/2023,76,0,31.14285714,22.37142857,65.28571429,1.142857143,160
2/5/2023,64,0.528571429,31.5,22.41428571,71.14285714,1.142857143,147.1428571
2/12/2023,82,0,31.52857143,21.81428571,64.14285714,1.857142857,82.85714286
2/19/2023,55,0.714285714,30.51428571,23.38571429,76.85714286,1.142857143,161.4285714
2/26/2023,36,0,31.02857143,22.44285714,62.57142857,1.428571429,58.57142857
3/5/2023,48,0,30.44285714,20.27142857,65.42857143,1.285714286,104.2857143
3/12/2023,34,0.8,31.24285714,22.2,64.71428571,1,201.4285714
3/19/2023,33,0,33.92857143,23.08571429,60.42857143,1.428571429,160
3/26/2023,41,0,33.48571429,23.47142857,62,1,187.1428571
4/2/2023,21,0.814285714,32.91428571,24.38571429,63.42857143,1,218.5714286
4/9/2023,40,8.157142857,31.12857143,24.5,73.42857143,1.285714286,218.5714286
4/16/2023,44,0.857142857,34.7,25.7,66.85714286,1.142857143,217.1428571
4/23/2023,43,0.028571429,33.72857143,25.07142857,62.85714286,1,162.8571429
4/30/2023,26,0,35.08571429,25.95714286,62,1.571428571,158.5714286
5/7/2023,28,7.271428571,33.98571429,25.98571429,71.14285714,1.142857143,157.1428571
5/14/2023,55,11.84285714,33.31428571,26.04285714,75.71428571,1.428571429,222.8571429
5/21/2023,44,4.671428571,33.3,25.38571429,77.57142857,1.142857143,200
5/28/2023,57,0.385714286,33.02857143,26.92857143,72.71428571,2,287.1428571
6/4/2023,72,29.75714286,32.57142857,25.57142857,80.57142857,1.142857143,231.4285714
6/11/2023,98,14.47142857,32.11428571,25.62857143,80.28571429,1.142857143,165.7142857
6/18/2023,98,11.85714286,33.45714286,25.21428571,76.71428571,1,228.5714286
6/25/2023,114,2.771428571,32.7,25.82857143,77.14285714,1,134.2857143
7/2/2023,110,5.971428571,34.12857143,25.88571429,72.28571429,1.142857143,205.7142857
7/9/2023,73,39.3,31.54285714,24.61428571,83.14285714,1.285714286,215.7142857
7/16/2023,93,13.08571429,32.05714286,25.12857143,82.71428571,1,244.2857143
7/23/2023,99,51.98571429,30.57142857,24.91428571,86.14285714,1.857142857,315.7142857
7/30/2023,91,34.38571429,29.61428571,25.68571429,88.57142857,1.285714286,260
8/6/2023,131,3.757142857,32.22857143,27.21428571,78.14285714,1.714285714,291.4285714
8/13/2023,153,14.38571429,32.71428571,26.05714286,77.14285714,1,260
8/20/2023,139,3.114285714,31.88571429,26.04285714,77.85714286,1.428571429,230
8/27/2023,146,44.34285714,29.88571429,25.57142857,86.71428571,1.714285714,288.5714286
9/3/2023,137,12.71428571,32,25.41428571,80,1,305.7142857
9/10/2023,137,11.91428571,32,25.27142857,81.28571429,1,294.2857143
9/17/2023,146,20.95714286,31.38571429,25.07142857,83.71428571,1,211.4285714
9/24/2023,138,25.21428571,31.95714286,25.12857143,83,1,195.7142857
10/1/2023,160,12.2,30.77142857,25.08571429,83.28571429,1.428571429,275.7142857
10/8/2023,187,8.728571429,32.12857143,24.61428571,80,1,124.2857143
10/15/2023,130,8.085714286,30.25714286,24.51428571,82.85714286,1,94.28571429
10/22/2023,135,7.014285714,30.87142857,24.3,83.28571429,1,114.2857143
10/29/2023,117,4.528571429,31.75714286,24.47142857,76.85714286,1.142857143,165.7142857
11/5/2023,162,1.228571429,32.01428571,24.62857143,79.28571429,1,104.2857143
11/12/2023,122,0.771428571,31.22857143,24.35714286,74.71428571,1.142857143,62.85714286
11/19/2023,151,0.828571429,31.27142857,23.11428571,74.28571429,1,101.4285714
11/26/2023,116,1.085714286,32.71428571,24.14285714,76.42857143,1.142857143,94.28571429
12/3/2023,88,1.1,31.38571429,24.22857143,79.14285714,1,180
12/10/2023,107,1.214285714,31.68571429,23.92857143,78.57142857,1.142857143,85.71428571
12/17/2023,80,1.357142857,30.2,24.55714286,76.57142857,1.142857143,114.2857143
12/24/2023,90,2.575,30.7625,23.775,78,1,72.5
